Local name,Sample number,value puntc. res ,sugar content,color_pca1
Kalafam Bakaka,Kalafam_36,23,1,-3.761539339
Kalafam Bakaka,Kalafam_37,21,1,-2.953324516
Kalafam Bakaka,Kalafam_38,16,1,-2.854105627
Kalafam Bakaka,Kalafam_39,12,1,-0.753743177
Kalafam Bakaka,Kalafam_40,19,1,-1.835718871
Kalafam Bakaka,Kalafam_52,4,1,113.0880509
Kalafam Bakaka,Kalafam_53,11,0.5,70.56843959
Kalafam Bakaka,Kalafam_54,16.5,1,-1.279702094
Kalafam Bakaka,Kalafam_55,12.5,0.75,-2.165648696
Kalafam Bakaka,Kalafam_56,25,1,-0.700541308
Kalafam Bakaka,Kalafam_57,10,1.5,-5.127405597
Kalafam Bakaka,Kalafam_58,18,1,-2.869408309
Kalafam Bakaka,Kalafam_59,15,1,-5.85672169
Kalafam Bakaka,Kalafam_60,12.5,1,-4.519115587
Kalafam Bakaka,Kalafam_61,28,1,2.471894996
Kalafam Bakaka,Kalafam_62,19,1,-2.908238555
Kalafam Bakaka,Kalafam_63,18.5,1,-4.733583801
Kalafam Bakaka,Kalafam_64,29,1.5,-5.295639018
Kalafam Bakaka,Kalafam_65,23,1,-3.512838741
Kalafam Bakaka,Kalafam_67,19,1.5,-5.449974935
Kalafam Bakaka,Kalafam_68,7,1,-5.493998294
Kalafam Bakaka,Kalafam_69,23,1,-5.088815604
Kalafam Bakaka,Kalafam_70,20,1,-5.251692991
Kalafam Bakaka,Kalafam_71,15,1,-4.166221259
Kalafam Bakaka,Kalafam_137,12,1,-3.824438532
Kalafam Bakaka,Kalafam_138,4,2,-2.98515588
Kalafam Bakaka,Kalafam_139,8,1,-5.528274379
Kalafam Bakaka,Kalafam_140,3,1,-4.717454986
Kalafam Bakaka,Kalafam_141,7,0.5,-0.587428304
Kalafam Bakaka,Kalafam_142,5,1.5,-1.724793411
Kalafam Bakaka,Kalafam_143,4,1.5,-3.264396592
Kalafam Bakaka,Kalafam_144,5,1,-1.743097162
Kalafam Bakaka,Kalafam_145,4,1,-2.18556107
Kalafam Bakaka,Kalafam_146,3,1.5,0.145790263
Kalafam Bakaka,Kalafam_259,10,1,-5.752598837
Kalafam Bakaka,Kalafam_260,11,1.5,-6.075859581
Kalafam Bakaka,Kalafam_261,17,1,-5.849103396
Kalafam Bakaka,Kalafam_262,18,2,-5.465234078
Kalafam Bakaka,Kalafam_263,20,1.5,-5.434542923
Kalafam Bakaka,Kalafam_264,18,1,-5.337351878
Kalafam Bakaka,Kalafam_265,9,1,-4.640728565
Kalafam Bakaka,Kalafam_266,17,2,-5.051837894
Kalafam Bakaka,Kalafam_267,19,2,-4.545245003
Kalafam Bakaka,Kalafam_268,19,2,-5.625042138
Kalafam Bakaka,Kalafam_269,12,3,-6.062115036
Kalafam Bakaka,Kalafam_270,16,2,-5.730025712
Kalafam Bakaka,Kalafam_271,15,2,-6.154428355
Kalafam Bakaka,Kalafam_272,5,1,-5.917134134
Kalafam Bakaka,Kalafam_273,4,1.5,-5.494349915
