Local name,Sample number,value puntc. res ,sugar content,color_pca1,color_pca2
Kalafana,Kalafana_112,5,2,-6.414306015,-10.60853427
Kalafana,Kalafana_113,3,1.5,39.32172911,-27.97419533
Kalafana,Kalafana_114,3,2,-6.618420409,-6.393383367
Kalafana,Kalafana_115,2,2,-11.79782822,-7.536387654
Kalafana,Kalafana_116,3,1.5,26.62280079,-14.93723852
Kalafana,Kalafana_118,3,3,-6.436867826,-9.962089727
Kalafana,Kalafana_119,3,2,3.865318149,-8.816153036
Kalafana,Kalafana_120,6,2.5,13.36277374,-16.83651366
Kalafana,Kalafana_121,3,2,18.30028522,6.639490066
Kalafana,Kalafana_122,3,2.5,20.07999907,-17.91034324
Kalafana,Kalafana_123,3,2,-5.524470611,-9.124114384
Kalafana,Kalafana_172,14,1,8.406321247,4.030997209
Kalafana,Kalafana_173,17,1,32.02706235,12.85942733
Kalafana,Kalafana_174,16,1.5,17.10381445,3.584080737
Kalafana,Kalafana_175,11,2,24.55024266,18.08443084
Kalafana,Kalafana_176,15,2,0.033965121,-1.090467515
Kalafana,Kalafana_177,16,1.5,-4.418924157,5.630941042
Kalafana,Kalafana_178,19,2,14.14855915,-1.373561545
Kalafana,Kalafana_179,17,2,31.99928287,23.07415914
Kalafana,Kalafana_180,8,2,10.98192973,8.835765704
Kalafana,Kalafana_181,11,2,-7.329456447,7.097054213
Kalafana,Kalafana_182,16,2,1.235839165,8.461720125
Kalafana,Kalafana_183,11,2,-2.135240674,2.193948186
Kalafana,Kalafana_184,17,1.3,-16.13243681,-6.866014734
Kalafana,Kalafana_185,20.1,1,-7.198982382,3.778493065
Kalafana,Kalafana_186,14,2,2.285544634,-0.229570081
Kalafana,Kalafana_187,17,2,-28.04397057,18.04023621
Kalafana,Kalafana_188,17,1.5,5.328339001,7.404817135
Kalafana,Kalafana_189,9,1,-25.68358003,3.544683367
Kalafana,Kalafana_190,19,2.5,-1.789197875,-6.249138724
Kalafana,Kalafana_191,17,1.5,-8.915900622,-0.933569136
Kalafana,Kalafana_192,13,1.5,-22.9610146,0.336803937
Kalafana,Kalafana_193,18,2,-6.567029893,-3.624403836
Kalafana,Kalafana_194,19,2,-11.71572782,1.409594389
Kalafana,Kalafana_226,15,2,-9.991862079,6.24543511
Kalafana,Kalafana_227,13,2,-6.913607015,1.24467038
Kalafana,Kalafana_228,15,2,-7.330384026,-2.26300013
Kalafana,Kalafana_229,14,2,-14.8326325,-0.345673625
Kalafana,Kalafana_230,11,2.5,-14.98110971,1.807381226
Kalafana,Kalafana_231,14.5,2,-29.95440125,1.523460813
Kalafana,Kalafana_232,18,1.5,-24.98504962,-0.10989799
Kalafana,Kalafana_233,15,2,-4.008886527,-3.680919657
Kalafana,Kalafana_234,19,2,4.873508263,-1.705892708
Kalafana,Kalafana_235,15,2,29.63338945,10.83732126
Kalafana,Kalafana_236,19,2,-5.786331326,-2.227664557
Kalafana,Kalafana_237,18,1,-26.84291579,-0.798489894
Kalafana,Kalafana_238,14,2,-6.05081452,-1.308598991
Kalafana,Kalafana_239,20,2,-1.482184173,-0.367193335
Kalafana,Kalafana_240,15,1.5,28.68282932,6.608098167
