Sample number;sugar content;PC1;PC2
13;8;-3.228483;-0.6380358
14;3;-6.608068;1.9764457
15;7;22.272708;-20.4921088
16;6.5;-6.498775;1.9449516
17;8;-6.164223;1.6414698
19;3;57.180444;17.8345493
20;6.5;3.449112;-6.1002035
21;5.5;17.884087;-16.8606331
22;6;3.496356;-6.0381496
212;7;-6.853957;2.4067633
213;9;-4.219402;2.1814036
214;10;-7.219562;2.8657302
215;6.5;-6.700561;2.1465157
216;10;-7.082726;2.5917623
217;8.5;-6.955921;2.4956541
218;9;-6.841258;2.341012
219;9;-6.635327;1.9743846
220;8;-6.846441;2.3188086
221;9.5;-6.788677;2.229851
222;9;-7.066631;2.6538699
223;4;-1.917694;-1.4887901
224;8;-6.655;2.014749
